Mes,Zonal,Provincia,Sucursal,Oficina,Tipo de cuenta,Saldo,No Cuentas,No Clientes
may-16,ZONAL GUAYAQUIL,LOS RIOS,BABAHOYO,BABA (AG.),Corriente,114258.61,85,85
may-16,ZONAL GUAYAQUIL,LOS RIOS,BABAHOYO,BABA (AG.),DPF,2500.00,1,1
may-16,ZONAL GUAYAQUIL,LOS RIOS,BABAHOYO,BABAHOYO,Ahorro,6579851.62,41467,40315
may-16,ZONAL GUAYAQUIL,LOS RIOS,BABAHOYO,BABAHOYO,Corriente,496365.07,306,287
may-16,ZONAL GUAYAQUIL,LOS RIOS,BABAHOYO,BABAHOYO,DPF,1361783.82,47,46
may-16,ZONAL GUAYAQUIL,LOS RIOS,BABAHOYO,CATARAMA,Ahorro,1549398.94,16970,16719
may-16,ZONAL GUAYAQUIL,LOS RIOS,BABAHOYO,CATARAMA,Corriente,268279.71,124,119
may-16,ZONAL GUAYAQUIL,LOS RIOS,BABAHOYO,CATARAMA,DPF,138719.56,12,12
may-16,ZONAL GUAYAQUIL,LOS RIOS,BABAHOYO,PALENQUE (OE),Ahorro,351683.22,4043,4019
may-16,ZONAL GUAYAQUIL,LOS RIOS,BABAHOYO,PALENQUE (OE),Corriente,265528.96,27,27
may-16,ZONAL GUAYAQUIL,LOS RIOS,BABAHOYO,PALENQUE (OE),DPF,5952.21,2,2
may-16,ZONAL GUAYAQUIL,LOS RIOS,BABAHOYO,QUEVEDO (AG.),Ahorro,6031108.36,52194,51290
may-16,ZONAL GUAYAQUIL,LOS RIOS,BABAHOYO,QUEVEDO (AG.),Corriente,604344.78,656,631
may-16,ZONAL GUAYAQUIL,LOS RIOS,BABAHOYO,QUEVEDO (AG.),DPF,1297926.09,67,65
may-16,ZONAL GUAYAQUIL,LOS RIOS,BABAHOYO,QUINSALOMA (OE),Ahorro,1135879.49,5207,5176
may-16,ZONAL GUAYAQUIL,LOS RIOS,BABAHOYO,QUINSALOMA (OE),Corriente,68824.18,52,52
may-16,ZONAL GUAYAQUIL,LOS RIOS,BABAHOYO,QUINSALOMA (OE),DPF,43765.48,4,4
may-16,ZONAL GUAYAQUIL,LOS RIOS,BABAHOYO,VALENCIA (AG.),Ahorro,858933.40,7188,7134
may-16,ZONAL GUAYAQUIL,LOS RIOS,BABAHOYO,VALENCIA (AG.),Corriente,43670.95,82,81
may-16,ZONAL GUAYAQUIL,LOS RIOS,BABAHOYO,VALENCIA (AG.),DPF,20000.00,1,1
may-16,ZONAL GUAYAQUIL,LOS RIOS,BABAHOYO,VENTANAS,Ahorro,1887309.27,18719,18387
may-16,ZONAL GUAYAQUIL,LOS RIOS,BABAHOYO,VENTANAS,Corriente,64279.27,144,135
may-16,ZONAL GUAYAQUIL,LOS RIOS,BABAHOYO,VENTANAS,DPF,38508.57,5,5
may-16,ZONAL GUAYAQUIL,LOS RIOS,BABAHOYO,VINCES,Ahorro,3835649.03,23967,23761
may-16,ZONAL GUAYAQUIL,LOS RIOS,BABAHOYO,VINCES,Corriente,626322.37,213,203
may-16,ZONAL GUAYAQUIL,LOS RIOS,BABAHOYO,VINCES,DPF,1266647.88,71,67
may-16,ZONAL GUAYAQUIL,MANABI,GUARANDA,S. M. BOLIVAR (AG.),Ahorro,2107024.54,6270,6254
may-16,ZONAL GUAYAQUIL,MANABI,GUARANDA,S. M. BOLIVAR (AG.),Corriente,455635.65,78,67
may-16,ZONAL GUAYAQUIL,MANABI,GUARANDA,S. M. BOLIVAR (AG.),DPF,417453.33,30,28
may-16,ZONAL GUAYAQUIL,SANTAELENA,SANTA ELENA,ANCONCITO (AG.),Ahorro,14766.50,122,121
may-16,ZONAL GUAYAQUIL,SANTAELENA,SANTA ELENA,ANCONCITO (AG.),Corriente,2148.29,1,1
may-16,ZONAL GUAYAQUIL,SANTAELENA,SANTA ELENA,SALINAS (AG.),Ahorro,396121.33,5226,5214
may-16,ZONAL GUAYAQUIL,SANTAELENA,SANTA ELENA,SALINAS (AG.),Corriente,39593.98,61,53
may-16,ZONAL GUAYAQUIL,SANTAELENA,SANTA ELENA,SALINAS (AG.),DPF,115300.00,4,4
may-16,ZONAL GUAYAQUIL,SANTAELENA,SANTA ELENA,SANTA ELENA,Ahorro,1293711.21,25468,25337
may-16,ZONAL GUAYAQUIL,SANTAELENA,SANTA ELENA,SANTA ELENA,Corriente,540538.07,271,269
may-16,ZONAL GUAYAQUIL,SANTAELENA,SANTA ELENA,SANTA ELENA,DPF,105750.00,9,6
may-16,ZONAL IBARRA,CARCHI,TULCAN,EL ANGEL,Ahorro,1684863.66,5996,5932
may-16,ZONAL IBARRA,CARCHI,TULCAN,EL ANGEL,Corriente,462056.36,94,93
may-16,ZONAL IBARRA,CARCHI,TULCAN,EL ANGEL,DPF,208779.04,25,23
may-16,ZONAL IBARRA,CARCHI,TULCAN,MIRA (AG),Ahorro,265156.65,891,886
may-16,ZONAL IBARRA,CARCHI,TULCAN,MIRA (AG),Corriente,278220.53,27,18
may-16,ZONAL IBARRA,CARCHI,TULCAN,SAN GABRIEL,Ahorro,2552994.86,7395,7363
may-16,ZONAL IBARRA,CARCHI,TULCAN,SAN GABRIEL,Corriente,450849.89,229,221
may-16,ZONAL IBARRA,CARCHI,TULCAN,SAN GABRIEL,DPF,190600.00,16,16
may-16,ZONAL IBARRA,CARCHI,TULCAN,TULCAN,Ahorro,4399756.98,12612,12558
may-16,ZONAL IBARRA,CARCHI,TULCAN,TULCAN,Corriente,455865.89,197,187
may-16,ZONAL IBARRA,CARCHI,TULCAN,TULCAN,DPF,481727.47,25,24
may-16,ZONAL IBARRA,ESMERALDAS,ESMERALDAS,ATACAMES (OE.),Ahorro,587500.12,5468,5452
may-16,ZONAL IBARRA,ESMERALDAS,ESMERALDAS,ATACAMES (OE.),Corriente,52692.01,162,152
may-16,ZONAL IBARRA,ESMERALDAS,ESMERALDAS,ATACAMES (OE.),DPF,6400.00,2,2
may-16,ZONAL IBARRA,ESMERALDAS,ESMERALDAS,ESMERALDAS,Ahorro,5014074.45,40235,39653
may-16,ZONAL IBARRA,ESMERALDAS,ESMERALDAS,ESMERALDAS,Corriente,623531.12,716,693
may-16,ZONAL IBARRA,ESMERALDAS,ESMERALDAS,ESMERALDAS,DPF,1669220.05,99,93
may-16,ZONAL IBARRA,ESMERALDAS,ESMERALDAS,LIMONES (OE.),Ahorro,246841.39,3264,3250
may-16,ZONAL IBARRA,ESMERALDAS,ESMERALDAS,LIMONES (OE.),Corriente,32739.47,50,40
may-16,ZONAL IBARRA,ESMERALDAS,ESMERALDAS,LIMONES (OE.),DPF,10926.39,2,2
may-16,ZONAL IBARRA,ESMERALDAS,ESMERALDAS,MUISNE (AG.),Ahorro,1052919.89,12131,12037
may-16,ZONAL IBARRA,ESMERALDAS,ESMERALDAS,MUISNE (AG.),Corriente,95019.79,124,124
may-16,ZONAL IBARRA,ESMERALDAS,ESMERALDAS,MUISNE (AG.),DPF,58255.66,4,4
may-16,ZONAL IBARRA,ESMERALDAS,ESMERALDAS,QUININDE (AG.),Ahorro,4461418.15,30793,30439
may-16,ZONAL IBARRA,ESMERALDAS,ESMERALDAS,QUININDE (AG.),Corriente,450603.63,443,421
may-16,ZONAL IBARRA,ESMERALDAS,ESMERALDAS,QUININDE (AG.),DPF,654840.43,52,49
may-16,ZONAL IBARRA,ESMERALDAS,ESMERALDAS,SAN LORENZO (AG.),Ahorro,1383967.34,12320,12061
may-16,ZONAL IBARRA,ESMERALDAS,ESMERALDAS,SAN LORENZO (AG.),Corriente,352466.43,204,196
may-16,ZONAL IBARRA,ESMERALDAS,ESMERALDAS,SAN LORENZO (AG.),DPF,89887.94,13,13
may-16,ZONAL IBARRA,IMBABURA,IBARRA,ATUNTAQUI (AG.),Ahorro,269195.25,1093,1085
may-16,ZONAL IBARRA,IMBABURA,IBARRA,ATUNTAQUI (AG.),Corriente,24382.54,35,35
may-16,ZONAL IBARRA,IMBABURA,IBARRA,ATUNTAQUI (AG.),DPF,5000.00,4,4
may-16,ZONAL IBARRA,IMBABURA,IBARRA,COTACACHI (AG.),Ahorro,532565.23,5046,5023
may-16,ZONAL IBARRA,IMBABURA,IBARRA,COTACACHI (AG.),Corriente,76824.55,76,66
may-16,ZONAL IBARRA,IMBABURA,IBARRA,COTACACHI (AG.),DPF,83210.00,16,15
may-16,ZONAL IBARRA,IMBABURA,IBARRA,IBARRA,Ahorro,5476161.15,20334,19957
may-16,ZONAL IBARRA,IMBABURA,IBARRA,IBARRA,Corriente,664026.19,315,299
may-16,ZONAL IBARRA,IMBABURA,IBARRA,IBARRA,DPF,575540.17,41,37
may-16,ZONAL IBARRA,IMBABURA,IBARRA,OTAVALO,Ahorro,1968323.01,13723,13521
may-16,ZONAL IBARRA,IMBABURA,IBARRA,OTAVALO,Corriente,130928.14,194,184
may-16,ZONAL IBARRA,IMBABURA,IBARRA,OTAVALO,DPF,835748.35,47,46
may-16,ZONAL IBARRA,IMBABURA,IBARRA,PIMAMPIRO (AG.),Ahorro,167622.31,1848,1834
may-16,ZONAL IBARRA,IMBABURA,IBARRA,PIMAMPIRO (AG.),Corriente,359054.46,44,43
may-16,ZONAL IBARRA,SUCUMBIOS,LAGO AGRIO,LAGO AGRIO,Ahorro,8078867.78,33327,32918
may-16,ZONAL IBARRA,SUCUMBIOS,LAGO AGRIO,LAGO AGRIO,Corriente,1410066.76,366,352
may-16,ZONAL IBARRA,SUCUMBIOS,LAGO AGRIO,LAGO AGRIO,DPF,998032.51,42,41
may-16,ZONAL IBARRA,SUCUMBIOS,LAGO AGRIO,LUMBAQUI,Ahorro,386569.61,1723,1723
may-16,ZONAL IBARRA,SUCUMBIOS,LAGO AGRIO,LUMBAQUI,Corriente,78813.71,42,36
may-16,ZONAL IBARRA,SUCUMBIOS,LAGO AGRIO,LUMBAQUI,DPF,125090.66,6,6
may-16,ZONAL IBARRA,SUCUMBIOS,LAGO AGRIO,PUTUMAYO (AG.),Ahorro,1182823.14,4462,4448
may-16,ZONAL IBARRA,SUCUMBIOS,LAGO AGRIO,PUTUMAYO (AG.),Corriente,29121.33,19,19
may-16,ZONAL IBARRA,SUCUMBIOS,LAGO AGRIO,SHUSHUFINDI (AG.),Ahorro,7085114.76,17972,17671
may-16,ZONAL IBARRA,SUCUMBIOS,LAGO AGRIO,SHUSHUFINDI (AG.),Corriente,521225.07,261,254
may-16,ZONAL IBARRA,SUCUMBIOS,LAGO AGRIO,SHUSHUFINDI (AG.),DPF,994205.86,51,50
may-16,ZONAL IBARRA,SUCUMBIOS,LAGO AGRIO,TARAPOA (OE.),Ahorro,419756.55,1619,1614
may-16,ZONAL IBARRA,SUCUMBIOS,LAGO AGRIO,TARAPOA (OE.),Corriente,14251.28,30,22
